Date,Total Users,Feature Adopters,Adoption Rate (%),Weekly Active Users,WAU Retention (%),Notes Created,Avg Notes per User,Time Saved (min),CRM Completeness Score (%)
2025-01-15,1250,112,9.0,112,100,487,4.3,1120,42
2025-01-22,1280,341,26.6,328,96,1456,4.3,3280,48
2025-01-29,1295,576,44.5,553,96,2587,4.5,5530,55
2025-02-05,1310,789,60.2,761,96,3821,4.8,7610,61
2025-02-12,1325,978,73.8,941,96,5124,5.2,9410,67
2025-02-19,1340,1139,85.0,1082,95,6438,5.7,10820,73
2025-02-26,1355,1198,88.4,1138,95,7256,6.1,11380,76
2025-03-05,1370,1231,89.9,1169,95,8014,6.5,11690,79
2025-03-12,1385,1264,91.3,1202,95,8892,7.0,12020,82
2025-03-19,1400,1288,92.0,1224,95,9567,7.4,12240,84
